,Unnamed: 0_x,cat,text,total_count_x,book_title_x,count_x,Unnamed: 0_y,total_count_y,book_title_y,supersense_category,count_y,_merge
2366,667.0,GPE,Europe,72.0,the_brown_fairy_book_preface,2.0,1079,28,the_lilac_fairy_book,noun.location,5,both
2367,668.0,GPE,Europe,72.0,the_fairy_mythology,7.0,1079,28,the_lilac_fairy_book,noun.location,5,both
2368,669.0,GPE,Europe,72.0,the_fairy_mythology_preface,3.0,1079,28,the_lilac_fairy_book,noun.location,5,both
2369,670.0,GPE,Europe,72.0,the_lilac_fairy_book,6.0,1079,28,the_lilac_fairy_book,noun.location,5,both
2370,671.0,GPE,Europe,72.0,the_olive_fairy_book_preface,1.0,1079,28,the_lilac_fairy_book,noun.location,5,both
2371,,,European countries,,,,1080,2,english_fairy_tales_preface,noun.location,1,right_only
2372,,,European countries,,,,1081,2,europas_fairy_book_preface,noun.location,1,right_only
2373,674.0,GPE,Evora,4.0,the_lilac_fairy_book,4.0,1082,3,the_lilac_fairy_book,noun.location,3,both
2374,,,Exchange,,,,1083,1,the_blue_fairy_book,noun.group,1,right_only
2375,4365.0,LOC,FAIRY LAND,1.0,the_fairy_mythology,1.0,1084,1,the_fairy_mythology,noun.location,1,both
2376,,,FAR DARRIG,,,,1085,1,fairy_and_folk_tales_of_the_irish_peasantry,noun.location,1,right_only
2377,,,FATE OF,,,,1086,2,fairy_and_folk_tales_of_the_irish_peasantry,noun.location,1,right_only
2378,,,FATE OF,,,,1087,2,the_olive_fairy_book,noun.location,1,right_only
2379,,,FIELD OF,,,,1088,1,celtic_fairy_tales,noun.location,1,right_only
2380,,,FIELD OF BOLIAUNS,,,,1089,1,celtic_fairy_tales,noun.location,1,right_only
2381,,,FLYING AND SWIMMING,,,,1090,1,evening_at_home,noun.group,1,right_only
2382,,,FLYING SHIP,,,,1091,1,the_yellow_fairy_book,noun.location,1,right_only
2383,,,FOLLOWERS,,,,1092,1,the_diamond_fairy_book,noun.group,1,right_only
